FeatureCode,DateCode,Measurement,Units,Value,Gender
S08000031,2016/2017,Count,P1 Reviews,10521,All
S08000031,2018/2019,Count,P1 Reviews,8587,All
S08000017,2006/2007,Count,P1 Reviews,1214,All
S92000003,2007/2008,Count,P1 Reviews,28065,All
S08000029,2016/2017,Count,P1 Reviews,3834,All
S08000017,2007/2008,Count,P1 Reviews,1334,All
S08000031,2017/2018,Count,P1 Reviews,11353,All
S92000003,2010/2011,Count,P1 Reviews,41118,All
S08000017,2012/2013,Count,P1 Reviews,1429,All
S08000029,2009/2010,Count,P1 Reviews,3706,All
S08000029,2017/2018,Count,P1 Reviews,3608,All
S08000026,2014/2015,Count,P1 Reviews,287,All
S08000031,2013/2014,Count,P1 Reviews,11513,All
S08000031,2015/2016,Count,P1 Reviews,10875,All
S08000017,2010/2011,Count,P1 Reviews,1405,All
S92000003,2009/2010,Count,P1 Reviews,45847,All
S08000017,2011/2012,Count,P1 Reviews,1458,All
S08000026,2015/2016,Count,P1 Reviews,273,All
S08000031,2014/2015,Count,P1 Reviews,11616,All
S08000020,2012/2013,Count,P1 Reviews,5611,All
S08000016,2004/2005,Count,P1 Reviews,1134,All
S08000024,2015/2016,Count,P1 Reviews,8715,All
S08000024,2016/2017,Count,P1 Reviews,8194,All
S08000024,2018/2019,Count,P1 Reviews,8767,All
S08000016,2015/2016,Count,P1 Reviews,1086,All
S08000024,2017/2018,Count,P1 Reviews,8807,All
S08000020,2011/2012,Count,P1 Reviews,5167,All
S08000020,2014/2015,Count,P1 Reviews,5833,All
S08000024,2013/2014,Count,P1 Reviews,8747,All
S08000020,2015/2016,Count,P1 Reviews,5765,All
S08000024,2012/2013,Count,P1 Reviews,8582,All
S08000024,2014/2015,Count,P1 Reviews,8724,All
S08000020,2013/2014,Count,P1 Reviews,5853,All
S08000016,2014/2015,Count,P1 Reviews,1101,All
S08000016,2005/2006,Count,P1 Reviews,1120,All
S08000016,2016/2017,Count,P1 Reviews,1109,All
S08000030,2007/2008,Count,P1 Reviews,3680,All
S08000016,2001/2002,Count,P1 Reviews,829,All
S08000030,2006/2007,Count,P1 Reviews,3966,All
S08000015,2018/2019,Count,P1 Reviews,2581,All
S08000030,2009/2010,Count,P1 Reviews,3887,All
S08000032,2017/2018,Count,P1 Reviews,6499,All
S08000030,2008/2009,Count,P1 Reviews,3950,All
S08000016,2003/2004,Count,P1 Reviews,1019,All
S08000030,2003/2004,Count,P1 Reviews,4028,All
S08000030,2002/2003,Count,P1 Reviews,4144,All
S08000020,2010/2011,Count,P1 Reviews,5221,All
S08000030,2005/2006,Count,P1 Reviews,3818,All
S08000032,2018/2019,Count,P1 Reviews,6488,All
S08000030,2004/2005,Count,P1 Reviews,3868,All
S08000020,2009/2010,Count,P1 Reviews,4943,All
S08000024,2002/2003,Count,P1 Reviews,1742,All
S08000025,2012/2013,Count,P1 Reviews,210,All
S08000024,2001/2002,Count,P1 Reviews,1915,All
S08000016,2009/2010,Count,P1 Reviews,1142,All
S08000016,2012/2013,Count,P1 Reviews,1149,All
S08000024,2004/2005,Count,P1 Reviews,6948,All
S08000024,2003/2004,Count,P1 Reviews,1648,All
S08000025,2011/2012,Count,P1 Reviews,233,All
S08000025,2014/2015,Count,P1 Reviews,213,All
S08000016,2010/2011,Count,P1 Reviews,1076,All
S08000025,2015/2016,Count,P1 Reviews,168,All
S08000025,2016/2017,Count,P1 Reviews,192,All
S08000025,2018/2019,Count,P1 Reviews,200,All
S08000025,2013/2014,Count,P1 Reviews,216,All
S08000025,2017/2018,Count,P1 Reviews,183,All
S08000016,2011/2012,Count,P1 Reviews,1132,All
S08000016,2013/2014,Count,P1 Reviews,1107,All
S08000024,2009/2010,Count,P1 Reviews,7227,All
S08000024,2008/2009,Count,P1 Reviews,7176,All
S08000020,2017/2018,Count,P1 Reviews,5881,All
S08000016,2006/2007,Count,P1 Reviews,1104,All
S08000024,2011/2012,Count,P1 Reviews,8093,All
S08000020,2016/2017,Count,P1 Reviews,5732,All
S08000024,2010/2011,Count,P1 Reviews,7738,All
S08000025,2010/2011,Count,P1 Reviews,198,All
S08000024,2006/2007,Count,P1 Reviews,5143,All
S08000016,2008/2009,Count,P1 Reviews,1063,All
S08000024,2005/2006,Count,P1 Reviews,6954,All
S08000024,2007/2008,Count,P1 Reviews,5038,All
S08000016,2007/2008,Count,P1 Reviews,1071,All
S08000020,2018/2019,Count,P1 Reviews,4830,All
S08000032,2004/2005,Count,P1 Reviews,6115,All
S08000019,2015/2016,Count,P1 Reviews,3205,All
S08000019,2013/2014,Count,P1 Reviews,3284,All
S08000019,2014/2015,Count,P1 Reviews,3389,All
S08000019,2016/2017,Count,P1 Reviews,3209,All
S08000029,2003/2004,Count,P1 Reviews,3421,All
S08000032,2003/2004,Count,P1 Reviews,6359,All
S08000015,2011/2012,Count,P1 Reviews,3715,All
S08000032,2006/2007,Count,P1 Reviews,5591,All
S08000019,2011/2012,Count,P1 Reviews,3147,All
S08000015,2013/2014,Count,P1 Reviews,3749,All
S08000019,2010/2011,Count,P1 Reviews,3222,All
S08000032,2005/2006,Count,P1 Reviews,5853,All
S08000015,2012/2013,Count,P1 Reviews,3778,All
S08000029,2002/2003,Count,P1 Reviews,3347,All
S08000019,2012/2013,Count,P1 Reviews,3345,All
S08000015,2009/2010,Count,P1 Reviews,3404,All
S08000028,2006/2007,Count,P1 Reviews,278,All
S08000029,2004/2005,Count,P1 Reviews,3496,All
S08000028,2005/2006,Count,P1 Reviews,125,All
S08000022,2016/2017,Count,P1 Reviews,2840,All
S08000028,2008/2009,Count,P1 Reviews,242,All
S08000022,2017/2018,Count,P1 Reviews,3094,All
S08000028,2007/2008,Count,P1 Reviews,236,All
S08000019,2018/2019,Count,P1 Reviews,2926,All
S08000015,2010/2011,Count,P1 Reviews,3530,All
S08000019,2017/2018,Count,P1 Reviews,2969,All
S08000032,2002/2003,Count,P1 Reviews,6313,All
S08000028,2004/2005,Count,P1 Reviews,22,All
S08000022,2018/2019,Count,P1 Reviews,2600,All
S08000028,2003/2004,Count,P1 Reviews,179,All
S08000032,2001/2002,Count,P1 Reviews,5876,All
S08000030,2014/2015,Count,P1 Reviews,4137,All
S08000015,2016/2017,Count,P1 Reviews,3844,All
S08000030,2013/2014,Count,P1 Reviews,4330,All
S08000032,2013/2014,Count,P1 Reviews,7208,All
S08000016,2018/2019,Count,P1 Reviews,964,All
S08000030,2016/2017,Count,P1 Reviews,4250,All
S08000030,2015/2016,Count,P1 Reviews,4094,All
S08000032,2012/2013,Count,P1 Reviews,7014,All
S08000032,2015/2016,Count,P1 Reviews,6915,All
S08000016,2017/2018,Count,P1 Reviews,1106,All
S08000032,2016/2017,Count,P1 Reviews,7003,All
S08000030,2010/2011,Count,P1 Reviews,4026,All
S08000030,2012/2013,Count,P1 Reviews,4175,All
S08000032,2014/2015,Count,P1 Reviews,7150,All
S08000030,2011/2012,Count,P1 Reviews,3956,All
S08000015,2017/2018,Count,P1 Reviews,3501,All
S08000015,2014/2015,Count,P1 Reviews,3756,All
S08000019,2007/2008,Count,P1 Reviews,2616,All
S08000019,2006/2007,Count,P1 Reviews,2808,All
S08000029,2001/2002,Count,P1 Reviews,3619,All
S08000019,2009/2010,Count,P1 Reviews,3060,All
S08000032,2007/2008,Count,P1 Reviews,5763,All
S08000032,2008/2009,Count,P1 Reviews,6151,All
S08000019,2008/2009,Count,P1 Reviews,3071,All
S08000015,2015/2016,Count,P1 Reviews,3824,All
S08000030,2018/2019,Count,P1 Reviews,2727,All
S08000032,2011/2012,Count,P1 Reviews,7076,All
S08000030,2017/2018,Count,P1 Reviews,4029,All
S08000019,2005/2006,Count,P1 Reviews,2951,All
S08000032,2009/2010,Count,P1 Reviews,6092,All
S08000032,2010/2011,Count,P1 Reviews,5751,All
