feature_code,weight_ratio,year,la_name
S12000013,1.45,2008,Na h-Eileanan Siar
S12000033,2.05,2012,Aberdeen City
S12000041,1.37,2010,Angus
S12000033,2.32,2011,Aberdeen City
S12000013,1.4,2009,Na h-Eileanan Siar
S12000033,2.35,2002,Aberdeen City
S12000041,1.95,2013,Angus
S12000033,2.77,2006,Aberdeen City
S12000014,2.3,2013,Falkirk
S12000014,2.16,2010,Falkirk
S12000042,2.97,2003,Dundee City
S12000014,2.24,2011,Falkirk
S12000033,2.24,2003,Aberdeen City
S12000014,2.22,2012,Falkirk
S12000017,2.34,2003,Highland
S12000042,2.93,2004,Dundee City
S12000017,2.21,2002,Highland
S12000030,1.99,2007,Stirling
S12000017,2.05,2012,Highland
S12000042,2.68,2008,Dundee City
S12000017,1.82,2008,Highland
S12000017,1.81,2009,Highland
S12000030,1.95,2010,Stirling
S12000017,2.13,2010,Highland
S12000042,2.44,2007,Dundee City
S12000030,2.02,2009,Stirling
S12000028,2.09,2003,South Ayrshire
S12000021,2.46,2008,North Ayrshire
S12000021,2.41,2010,North Ayrshire
S12000027,1.4,2012,Shetland Islands
S12000023,0.47,2003,Orkney Islands
S12000027,1.82,2013,Shetland Islands
S12000021,2.26,2009,North Ayrshire
S12000021,2.46,2013,North Ayrshire
S12000021,2.34,2011,North Ayrshire
S12000021,2.4,2012,North Ayrshire
S12000028,2.25,2002,South Ayrshire
S12000023,0.24,2002,Orkney Islands
S12000023,1.06,2006,Orkney Islands
S12000027,0.72,2010,Shetland Islands
S12000023,1.32,2005,Orkney Islands
S12000023,0.38,2007,Orkney Islands
S12000027,0.88,2009,Shetland Islands
S12000023,0.37,2008,Orkney Islands
S12000027,1.11,2011,Shetland Islands
S12000023,1.16,2004,Orkney Islands
S12000038,2.6,2012,Renfrewshire
S12000038,2.73,2009,Renfrewshire
S12000036,2.35,2006,City of Edinburgh
S12000006,1.39,2010,Dumfries and Galloway
S12000040,2.42,2003,West Lothian
S12000039,3.09,2006,West Dunbartonshire
S12000038,2.5,2010,Renfrewshire
S12000038,2.46,2011,Renfrewshire
S12000039,3.18,2003,West Dunbartonshire
S12000038,2.7,2013,Renfrewshire
S12000039,3.15,2005,West Dunbartonshire
S12000039,3.02,2002,West Dunbartonshire
S12000006,1.61,2012,Dumfries and Galloway
S12000008,2.4,2002,East Ayrshire
S12000040,2.39,2005,West Lothian
S12000036,2.31,2002,City of Edinburgh
S12000036,2.24,2004,City of Edinburgh
S12000005,2.14,2011,Clackmannanshire
S12000036,1.76,2012,City of Edinburgh
S12000040,2.52,2004,West Lothian
S12000006,1.68,2013,Dumfries and Galloway
S12000036,2.43,2008,City of Edinburgh
S12000006,2.06,2007,Dumfries and Galloway
S12000040,2.56,2002,West Lothian
S12000036,2.26,2005,City of Edinburgh
S12000006,1.56,2011,Dumfries and Galloway
S12000008,2.25,2004,East Ayrshire
S12000008,2.06,2003,East Ayrshire
S12000036,2.4,2007,City of Edinburgh
S12000006,1.58,2009,Dumfries and Galloway
S12000036,2.25,2003,City of Edinburgh
S12000006,1.86,2008,Dumfries and Galloway
S12000034,1.56,2008,Aberdeenshire
S12000034,1.65,2007,Aberdeenshire
S12000011,2.03,2006,East Renfrewshire
S12000011,2.73,2008,East Renfrewshire
S12000041,1.74,2004,Angus
S12000011,2.33,2009,East Renfrewshire
S12000011,2.4,2007,East Renfrewshire
S12000034,1.5,2009,Aberdeenshire
S12000039,2.86,2008,West Dunbartonshire
S12000041,1.56,2003,Angus
S12000034,1.19,2010,Aberdeenshire
S12000011,1.92,2004,East Renfrewshire
S12000011,1.78,2005,East Renfrewshire
S12000034,1.21,2012,Aberdeenshire
S12000034,1.27,2011,Aberdeenshire
S12000041,1.25,2002,Angus
S12000011,1.7,2002,East Renfrewshire
S12000011,1.75,2003,East Renfrewshire
S12000040,2.71,2013,West Lothian
S12000010,1.69,2013,East Lothian
S12000005,3.01,2007,Clackmannanshire
S12000005,3.03,2003,Clackmannanshire
S12000038,2.6,2005,Renfrewshire
S12000038,2.39,2003,Renfrewshire
S12000038,2.44,2004,Renfrewshire
S12000005,3.21,2008,Clackmannanshire
